"","train.code","day.week","departure.from","departure.time","departure.schedule","arrival.to","arrival.time","arrival.schedule","id"
"1","1Y05","Wednesday","LEEDS","06:05:28","06:05:00","WKFLDKG","06:22:59","06:22:00",0
"2","1Y05","Wednesday","WKFLDKG","06:24:35","06:24:00","BNSLY","06:37:45","06:36:00",0
"3","1Y05","Wednesday","BNSLY","06:40:01","06:40:00","MEADWHL","06:51:58","06:52:00",0
"4","1Y05","Wednesday","MEADWHL","06:54:01","06:56:00","SHEFFLD","06:58:07","07:00:00",0
"5","1Y13","Wednesday","LEEDS","08:05:16","08:05:00","WKFLDKG","08:24:07","08:22:00",1
"6","1Y13","Wednesday","WKFLDKG","08:26:18","08:24:00","BNSLY","08:39:18","08:36:00",1
"7","1Y13","Wednesday","BNSLY","08:41:48","08:40:00","MEADWHL","08:54:08","08:52:00",1
"8","1Y13","Wednesday","MEADWHL","08:56:12","08:56:00","SHEFFLD","09:02:00","09:00:00",1
"9","1Y21","Wednesday","LEEDS","10:05:17","10:05:00","WKFLDKG","10:21:23","10:22:00",2
"10","1Y21","Wednesday","WKFLDKG","10:23:08","10:24:00","BNSLY","10:35:42","10:36:00",2
"11","1Y21","Wednesday","BNSLY","10:40:27","10:40:00","MEADWHL","10:52:18","10:52:00",2
"12","1Y21","Wednesday","MEADWHL","10:54:28","10:56:00","SHEFFLD","10:58:24","11:00:00",2
"13","1Y53","Wednesday","LEEDS","18:29:25","18:05:00","WKFLDKG","18:44:57","18:22:00",3
"14","1Y53","Wednesday","WKFLDKG","18:46:41","18:24:00","BNSLY","18:59:28","18:36:00",3
"15","1Y53","Wednesday","BNSLY","19:02:34","18:40:00","MEADWHL","19:15:02","18:52:00",3
"16","1Y53","Wednesday","MEADWHL","19:17:08","18:56:00","SHEFFLD","19:21:10","19:00:00",3
"17","1Y29","Thursday","LEEDS","12:05:20","12:05:00","WKFLDKG","12:20:29","12:22:00",4
"18","1Y29","Thursday","WKFLDKG","12:23:10","12:24:00","BNSLY","12:35:54","12:36:00",4
"19","1Y29","Thursday","BNSLY","12:41:12","12:40:00","MEADWHL","12:53:22","12:52:00",4
"20","1Y29","Thursday","MEADWHL","12:57:39","12:56:00","SHEFFLD","13:02:40","13:00:00",4
"21","1Y45","Thursday","LEEDS","16:05:14","16:05:00","WKFLDKG","16:22:02","16:22:00",5
"22","1Y45","Thursday","WKFLDKG","16:24:00","16:24:00","BNSLY","16:36:12","16:36:00",5
"23","1Y45","Thursday","BNSLY","16:40:32","16:40:00","MEADWHL","16:53:22","16:52:00",5
"24","1Y45","Thursday","MEADWHL","16:57:34","16:56:00","SHEFFLD","17:06:10","17:00:00",5
"25","1Y57","Thursday","LEEDS","19:05:20","19:05:00","WKFLDKG","19:20:17","19:22:00",6
"26","1Y57","Thursday","WKFLDKG","19:24:09","19:24:00","BNSLY","19:36:24","19:36:00",6
"27","1Y57","Thursday","BNSLY","19:43:36","19:40:00","MEADWHL","19:58:38","19:52:00",6
"28","1Y57","Thursday","MEADWHL","20:00:46","19:56:00","SHEFFLD","20:04:59","20:00:00",6
"29","1Y17","Friday","LEEDS","09:05:22","09:05:00","WKFLDKG","09:21:43","09:22:00",7
"30","1Y17","Friday","WKFLDKG","09:23:41","09:24:00","BNSLY","09:36:05","09:36:00",7
"31","1Y17","Friday","BNSLY","09:40:10","09:40:00","MEADWHL","09:51:58","09:52:00",7
"32","1Y17","Friday","MEADWHL","09:54:24","09:56:00","SHEFFLD","09:59:00","10:00:00",7
"33","1Y29","Sunday","LEEDS","12:08:23","12:05:00","WKFLDKG","12:25:45","12:22:00",8
"34","1Y29","Sunday","WKFLDKG","12:27:27","12:24:00","BNSLY","12:40:10","12:36:00",8
"35","1Y29","Sunday","BNSLY","12:44:19","12:40:00","MEADWHL","12:56:30","12:52:00",8
"36","1Y29","Sunday","MEADWHL","13:00:07","12:56:00","SHEFFLD","13:04:12","13:00:00",8
"37","1Y45","Sunday","LEEDS","16:07:17","16:05:00","WKFLDKG","16:23:16","16:22:00",9
"38","1Y45","Sunday","WKFLDKG","16:26:18","16:24:00","BNSLY","16:39:24","16:36:00",9
"39","1Y45","Sunday","BNSLY","16:44:44","16:40:00","MEADWHL","16:56:50","16:52:00",9
"40","1Y45","Sunday","MEADWHL","16:59:12","16:56:00","SHEFFLD","17:03:22","17:00:00",9
"41","1Y45","Monday","LEEDS","16:05:17","16:05:00","WKFLDKG","16:21:34","16:22:00",10
"42","1Y45","Monday","WKFLDKG","16:23:23","16:24:00","BNSLY","16:35:44","16:36:00",10
"43","1Y45","Monday","BNSLY","16:40:14","16:40:00","MEADWHL","16:52:13","16:52:00",10
"44","1Y45","Monday","MEADWHL","16:54:24","16:56:00","SHEFFLD","16:59:51","17:00:00",10
"45","1Y57","Monday","LEEDS","19:05:25","19:05:00","WKFLDKG","19:21:01","19:22:00",11
"46","1Y57","Monday","WKFLDKG","19:24:27","19:24:00","BNSLY","19:36:57","19:36:00",11
"47","1Y57","Monday","BNSLY","19:41:22","19:40:00","MEADWHL","19:53:12","19:52:00",11
"48","1Y57","Monday","MEADWHL","19:55:48","19:56:00","SHEFFLD","20:04:04","20:00:00",11
"49","1Y29","Tuesday","LEEDS","12:06:03","12:05:00","WKFLDKG","12:24:22","12:22:00",12
"50","1Y29","Tuesday","WKFLDKG","12:26:25","12:24:00","BNSLY","12:39:21","12:36:00",12
"51","1Y29","Tuesday","BNSLY","12:41:39","12:40:00","MEADWHL","12:54:17","12:52:00",12
"52","1Y29","Tuesday","MEADWHL","12:56:38","12:56:00","SHEFFLD","13:01:03","13:00:00",12
"53","1Y37","Tuesday","LEEDS","14:07:54","14:05:00","WKFLDKG","14:24:13","14:22:00",13
"54","1Y37","Tuesday","WKFLDKG","14:25:59","14:24:00","BNSLY","14:38:11","14:36:00",13
"55","1Y37","Tuesday","BNSLY","14:40:37","14:40:00","MEADWHL","14:52:35","14:52:00",13
"56","1Y37","Tuesday","MEADWHL","14:54:24","14:56:00","SHEFFLD","14:58:17","15:00:00",13
"57","1Y41","Wednesday","LEEDS","15:05:22","15:05:00","WKFLDKG","15:22:56","15:22:00",14
"58","1Y41","Wednesday","WKFLDKG","15:24:38","15:24:00","BNSLY","15:37:26","15:36:00",14
"59","1Y41","Wednesday","BNSLY","15:39:38","15:40:00","MEADWHL","15:52:08","15:52:00",14
"60","1Y41","Wednesday","MEADWHL","15:54:25","15:56:00","SHEFFLD","16:01:36","16:00:00",14
"61","1Y49","Wednesday","LEEDS","17:05:22","17:05:00","NORMNTN","17:17:07","17:16:00",15
"62","1Y49","Wednesday","NORMNTN","17:19:42","17:19:00","WKFLDKG","17:22:37","17:22:00",15
"63","1Y49","Wednesday","WKFLDKG","17:24:29","17:24:00","BNSLY","17:37:27","17:36:00",15
"64","1Y49","Wednesday","BNSLY","17:41:11","17:40:00","MEADWHL","17:53:11","17:52:00",15
"65","1Y49","Wednesday","MEADWHL","17:55:31","17:56:00","SHEFFLD","18:01:27","18:00:00",15
"66","1Y21","Thursday","LEEDS","10:05:14","10:05:00","WKFLDKG","10:21:56","10:22:00",16
"67","1Y21","Thursday","WKFLDKG","10:23:38","10:24:00","BNSLY","10:36:24","10:36:00",16
"68","1Y21","Thursday","BNSLY","10:40:18","10:40:00","MEADWHL","10:52:48","10:52:00",16
"69","1Y21","Thursday","MEADWHL","10:56:11","10:56:00","SHEFFLD","11:01:22","11:00:00",16
"70","1Y25","Thursday","LEEDS","11:05:36","11:05:00","WKFLDKG","11:20:24","11:22:00",17
"71","1Y25","Thursday","WKFLDKG","11:23:18","11:24:00","BNSLY","11:35:48","11:36:00",17
"72","1Y25","Thursday","BNSLY","11:40:19","11:40:00","MEADWHL","11:52:27","11:52:00",17
"73","1Y25","Thursday","MEADWHL","11:54:46","11:56:00","SHEFFLD","12:00:07","12:00:00",17
"74","1Y41","Thursday","LEEDS","15:05:19","15:05:00","WKFLDKG","15:20:41","15:22:00",18
"75","1Y41","Thursday","WKFLDKG","15:24:07","15:24:00","BNSLY","15:36:41","15:36:00",18
"76","1Y41","Thursday","BNSLY","15:40:19","15:40:00","MEADWHL","15:52:36","15:52:00",18
"77","1Y41","Thursday","MEADWHL","15:57:54","15:56:00","SHEFFLD","16:04:56","16:00:00",18
"78","1Y09","Friday","LEEDS","07:05:33","07:05:00","WKFLDKG","07:22:08","07:22:00",19
"79","1Y09","Friday","WKFLDKG","07:25:27","07:24:00","BNSLY","07:38:17","07:36:00",19
"80","1Y09","Friday","BNSLY","07:42:27","07:40:00","MEADWHL","07:54:56","07:52:00",19
"81","1Y09","Friday","MEADWHL","07:56:59","07:56:00","SHEFFLD","08:01:34","08:00:00",19
"82","1Y29","Friday","LEEDS","12:05:26","12:05:00","WKFLDKG","12:21:48","12:22:00",20
"83","1Y29","Friday","WKFLDKG","12:23:25","12:24:00","BNSLY","12:36:50","12:36:00",20
"84","1Y29","Friday","BNSLY","12:40:22","12:40:00","MEADWHL","12:53:53","12:52:00",20
"85","1Y29","Friday","MEADWHL","12:57:01","12:56:00","SHEFFLD","13:01:51","13:00:00",20
"86","1Y33","Friday","LEEDS","13:06:36","13:05:00","WKFLDKG","13:22:16","13:22:00",21
"87","1Y33","Friday","WKFLDKG","13:24:33","13:24:00","BNSLY","13:37:02","13:36:00",21
"88","1Y33","Friday","BNSLY","13:41:10","13:40:00","MEADWHL","13:57:17","13:52:00",21
"89","1Y33","Friday","MEADWHL","14:00:58","13:56:00","SHEFFLD","14:05:47","14:00:00",21
"90","1Y21","Sunday","LEEDS","10:05:03","10:05:00","WKFLDKG","10:20:45","10:22:00",22
"91","1Y21","Sunday","WKFLDKG","10:22:30","10:24:00","WKFLDWG","10:24:32","10:25:00",22
"92","1Y21","Sunday","WKFLDWG","10:28:09","10:30:00","MEADWHL","10:50:57","10:52:00",22
"93","1Y21","Sunday","MEADWHL","10:53:13","10:56:00","SHEFFLD","10:57:08","11:00:00",22
"94","1Y37","Sunday","LEEDS","14:05:21","14:05:00","WKFLDKG","14:21:56","14:22:00",23
"95","1Y37","Sunday","WKFLDKG","14:23:36","14:24:00","WKFLDWG","14:25:55","14:25:00",23
"96","1Y37","Sunday","WKFLDWG","14:30:15","14:30:00","MEADWHL","14:58:27","14:52:00",23
"97","1Y37","Sunday","MEADWHL","15:01:17","14:56:00","SHEFFLD","15:05:04","15:00:00",23
"98","1Y25","Monday","LEEDS","11:07:10","11:05:00","WKFLDKG","11:22:33","11:22:00",24
"99","1Y25","Monday","WKFLDKG","11:24:08","11:24:00","BNSLY","11:36:46","11:36:00",24
"100","1Y25","Monday","BNSLY","11:40:18","11:40:00","MEADWHL","11:53:02","11:52:00",24
"101","1Y25","Monday","MEADWHL","11:55:53","11:56:00","SHEFFLD","12:00:46","12:00:00",24
"102","1Y45","Monday","LEEDS","16:05:24","16:05:00","WKFLDKG","16:21:14","16:22:00",25
"103","1Y45","Monday","WKFLDKG","16:23:16","16:24:00","BNSLY","16:43:15","16:36:00",25
"104","1Y45","Monday","BNSLY","16:45:38","16:40:00","MEADWHL","16:58:24","16:52:00",25
"105","1Y45","Monday","MEADWHL","17:01:04","16:56:00","SHEFFLD","17:06:13","17:00:00",25
"106","1Y17","Tuesday","LEEDS","09:05:10","09:05:00","WKFLDKG","09:20:11","09:22:00",26
"107","1Y17","Tuesday","WKFLDKG","09:23:15","09:24:00","BNSLY","09:36:14","09:36:00",26
"108","1Y17","Tuesday","BNSLY","09:40:15","09:40:00","MEADWHL","09:52:47","09:52:00",26
"109","1Y17","Tuesday","MEADWHL","09:56:23","09:56:00","SHEFFLD","10:00:52","10:00:00",26
"110","1Y29","Tuesday","LEEDS","12:05:37","12:05:00","WKFLDKG","12:29:16","12:22:00",27
"111","1Y29","Tuesday","WKFLDKG","12:30:49","12:24:00","BNSLY","12:43:16","12:36:00",27
"112","1Y29","Tuesday","BNSLY","12:45:43","12:40:00","MEADWHL","12:58:22","12:52:00",27
"113","1Y29","Tuesday","MEADWHL","13:00:32","12:56:00","SHEFFLD","13:04:19","13:00:00",27
"114","1Y53","Tuesday","LEEDS","18:05:46","18:05:00","WKFLDKG","18:23:10","18:22:00",28
"115","1Y53","Tuesday","WKFLDKG","18:24:57","18:24:00","BNSLY","18:37:48","18:36:00",28
"116","1Y53","Tuesday","BNSLY","18:40:36","18:40:00","MEADWHL","18:53:44","18:52:00",28
"117","1Y53","Tuesday","MEADWHL","18:58:10","18:56:00","SHEFFLD","19:02:44","19:00:00",28
"118","1Y37","Wednesday","LEEDS","14:05:34","14:05:00","WKFLDKG","14:21:42","14:22:00",29
"119","1Y37","Wednesday","WKFLDKG","14:23:33","14:24:00","BNSLY","14:36:37","14:36:00",29
"120","1Y37","Wednesday","BNSLY","14:40:14","14:40:00","MEADWHL","14:53:45","14:52:00",29
"121","1Y37","Wednesday","MEADWHL","14:56:47","14:56:00","SHEFFLD","15:01:55","15:00:00",29
"122","1Y57","Wednesday","LEEDS","19:05:26","19:05:00","WKFLDKG","19:21:11","19:22:00",30
"123","1Y57","Wednesday","WKFLDKG","19:24:06","19:24:00","BNSLY","19:36:53","19:36:00",30
"124","1Y57","Wednesday","BNSLY","19:40:35","19:40:00","MEADWHL","19:53:16","19:52:00",30
"125","1Y57","Wednesday","MEADWHL","19:58:37","19:56:00","SHEFFLD","20:05:58","20:00:00",30
"126","1Y05","Thursday","LEEDS","06:08:19","06:05:00","WKFLDKG","06:24:12","06:22:00",31
"127","1Y05","Thursday","WKFLDKG","06:25:44","06:24:00","BNSLY","06:38:23","06:36:00",31
