"","week.day","hour","Leeds.trains","Leeds.av.delay","Sheffield.trains","Sheffield.av.delay","Nottingham.trains","Nottingham.av.delay","arrival.to","arrival.time","arrival.schedule","delay.secs","train_code"
"1","Tuesday",8,39,0,22,0,13,0,"NTNG","08:56:30","08:58:00",-90,"1Y09"
"11","Saturday",18,38,0.5,23,1,12,0.25,"NTNG","18:57:48","18:58:00",-12,"1Y49"
"12","Friday",17,42,0,22,1.25,14,0,"NTNG","18:00:51","17:58:00",171,"1Y45"
"13","Tuesday",8,38,0,22,0,13,0,"NTNG","08:55:16","08:58:00",-164,"1Y09"
"14","Friday",18,45,0.5,21,1.5,14,0,"NTNG","18:56:09","18:58:00",-111,"1Y49"
"15","Sunday",11,24,1,11,1.5,2,0,"NTNG","12:11:06","11:58:00",786,"1Y21"
"16","Friday",17,38,2,22,0.5,15,0,"NTNG","17:57:30","17:58:00",-30,"1Y45"
"17","Saturday",20,37,0,23,0,11,0,"NTNG","20:52:37","20:58:00",-323,"1Y57"
"18","Tuesday",9,41,0.5,20,0,13,1,"NTNG","09:55:24","09:58:00",-156,"1Y13"
"19","Friday",19,38,3.75,26,1.25,14,0,"NTNG","19:53:51","19:58:00",-249,"1Y53"
"110","Wednesday",8,38,0,21,0,13,0,"NTNG","08:57:18","08:58:00",-42,"1Y09"
"111","Friday",15,37,0.5,24,0.75,14,0,"NTNG","15:54:12","15:58:00",-228,"1Y37"
"112","Wednesday",18,41,2.5,24,5.5,13,0,"NTNG","19:00:34","18:58:00",154,"1Y49"
"113","Friday",14,38,0.5,21,1,14,0,"NTNG","14:55:32","14:58:00",-148,"1Y33"
"114","Monday",19,41,0,27,2,13,0,"NTNG","19:56:05","19:58:00",-115,"1Y53"
"115","Tuesday",18,42,0,23,0,14,0,"NTNG","18:57:21","18:58:00",-39,"1Y49"
"116","Monday",8,27,0,21,0,14,0,"NTNG","08:59:10","08:58:00",70,"1Y09"
"117","Thursday",19,45,2.5,24,3,12,2.5,"NTNG","20:05:50","19:58:00",470,"1Y53"
"118","Sunday",16,22,0,19,0,8,0,"NTNG","16:54:18","16:58:00",-222,"1Y41"
"119","Monday",20,40,0.5,25,1,12,0,"NTNG","20:53:18","20:58:00",-282,"1Y57"
"120","Wednesday",16,38,1,22,1.25,13,0,"NTNG","16:52:51","16:58:00",-309,"1Y41"
"121","Saturday",15,37,0,23,0,12,0,"NTNG","15:57:23","15:58:00",-37,"1Y37"
"122","Sunday",10,19,0,6,0,4,0,"NTNG","11:03:39","10:58:00",339,"1Y17"
"123","Thursday",18,45,1.5,22,1.75,13,0,"NTNG","18:56:08","18:58:00",-112,"1Y49"
"124","Thursday",19,43,0,28,2,12,1,"NTNG","19:54:54","19:58:00",-186,"1Y53"
"125","Tuesday",20,41,3.5,23,3.5,11,0,"NTNG","21:20:41","20:58:00",1361,"1Y57"
"126","Monday",17,43,0,23,0,15,0,"NTNG","17:52:34","17:58:00",-326,"1Y45"
"127","Thursday",15,40,0.25,26,0,12,0,"NTNG","15:53:10","15:58:00",-290,"1Y37"
"128","Friday",17,44,0,24,2.25,14,0,"NTNG","17:56:20","17:58:00",-100,"1Y45"
"129","Thursday",8,41,0,23,0,13,0,"NTNG","09:05:57","08:58:00",477,"1Y09"
"130","Wednesday",7,36,0,19,0,11,0,"NTNG","07:52:25","07:58:00",-335,"1Y05"
"131","Monday",14,30,0.5,24,1,14,0,"NTNG","14:55:13","14:58:00",-167,"1Y33"
"132","Monday",9,40,0,21,0,13,0,"NTNG","09:52:45","09:58:00",-315,"1Y13"
"133","Friday",7,30,0,18,0,11,0,"NTNG","07:54:33","07:58:00",-207,"1Y05"
"134","Sunday",12,24,0,13,-0.5,7,0,"NTNG","12:53:54","12:58:00",-246,"1Y25"
"135","Sunday",20,25,3,18,1.75,4,0,"NTNG","20:59:45","20:58:00",105,"1Y57"
"136","Wednesday",18,46,1,25,0.5,14,0,"NTNG","18:51:56","18:58:00",-364,"1Y49"
"137","Friday",11,36,0,22,2.25,14,0,"NTNG","11:54:59","11:58:00",-181,"1Y21"
"138","Thursday",14,39,1,22,0,14,0,"NTNG","15:00:03","14:58:00",123,"1Y33"
"139","Thursday",7,34,0,18,0,11,0,"NTNG","07:54:41","07:58:00",-199,"1Y05"
