train_code.code,combination_id,count,NORMNTN_presence,WKFLDKG_presence,WKFLDWG_presence,BNSLY_presence,MEADWHL_presence
0,0,113,0,1,0,1,1
0,2,2,0,1,0,0,1
0,3,1,0,0,0,1,1
1,1,117,1,1,0,1,1
1,0,17,0,1,0,1,1
1,5,1,1,1,0,0,1
1,7,1,0,1,1,0,1
1,8,1,1,1,0,0,0
2,0,141,0,1,0,1,1
2,2,1,0,1,0,0,1
2,6,1,0,1,0,1,0
2,7,1,0,1,1,0,1
3,0,136,0,1,0,1,1
3,2,2,0,1,0,0,1
3,4,2,0,1,0,0,0
4,0,136,0,1,0,1,1
4,2,1,0,1,0,0,1
4,7,1,0,1,1,0,1
5,0,116,0,1,0,1,1
5,2,3,0,1,0,0,1
6,0,116,0,1,0,1,1
6,2,1,0,1,0,0,1
6,4,1,0,1,0,0,0
7,0,136,0,1,0,1,1
7,2,2,0,1,0,0,1
8,0,142,0,1,0,1,1
8,2,2,0,1,0,0,1
8,7,1,0,1,1,0,1
9,0,136,0,1,0,1,1
9,2,2,0,1,0,0,1
9,7,1,0,1,1,0,1
10,0,133,0,1,0,1,1
10,3,3,0,0,0,1,1
10,2,2,0,1,0,0,1
10,9,1,0,0,1,0,1
11,0,100,0,1,0,1,1
11,4,2,0,1,0,0,0
11,2,1,0,1,0,0,1
12,0,146,0,1,0,1,1
12,2,1,0,1,0,0,1
12,4,1,0,1,0,0,0
12,7,1,0,1,1,0,1
13,0,123,0,1,0,1,1
13,2,4,0,1,0,0,1
13,3,1,0,0,0,1,1
13,6,1,0,1,0,1,0
13,7,1,0,1,1,0,1
14,0,4,0,1,0,1,1
