"","train.code","day.week","departure.from","departure.time","departure.schedule","arrival.to","arrival.time","arrival.schedule","id"
"1","1Y09","Tuesday","LEEDS","07:05:38","07:05:00","WKFLDKG","07:22:15","07:22:00",0
"2","1Y09","Tuesday","WKFLDKG","07:25:16","07:24:00","BNSLY","07:38:16","07:36:00",0
"3","1Y09","Tuesday","BNSLY","07:42:15","07:40:00","MEADWHL","07:54:22","07:52:00",0
"4","1Y09","Tuesday","MEADWHL","07:57:17","07:56:00","SHEFFLD","08:02:42","08:00:00",0
"5","1Y49","Saturday","LEEDS","17:05:31","17:05:00","NORMNTN","17:19:18","17:16:00",1
"6","1Y49","Saturday","NORMNTN","17:21:39","17:19:00","WKFLDKG","17:25:00","17:22:00",1
"7","1Y49","Saturday","WKFLDKG","17:27:21","17:24:00","BNSLY","17:40:11","17:36:00",1
"8","1Y49","Saturday","BNSLY","17:42:56","17:40:00","MEADWHL","17:55:03","17:52:00",1
"9","1Y49","Saturday","MEADWHL","17:57:54","17:56:00","SHEFFLD","18:02:13","18:00:00",1
"10","1Y45","Friday","LEEDS","16:05:33","16:05:00","WKFLDKG","16:20:42","16:22:00",2
"11","1Y45","Friday","WKFLDKG","16:23:19","16:24:00","BNSLY","16:36:27","16:36:00",2
"12","1Y45","Friday","BNSLY","16:40:32","16:40:00","MEADWHL","16:53:19","16:52:00",2
"13","1Y45","Friday","MEADWHL","16:58:24","16:56:00","SHEFFLD","17:04:04","17:00:00",2
"14","1Y09","Tuesday","LEEDS","07:05:18","07:05:00","WKFLDKG","07:22:06","07:22:00",3
"15","1Y09","Tuesday","WKFLDKG","07:25:20","07:24:00","BNSLY","07:37:14","07:36:00",3
"16","1Y09","Tuesday","BNSLY","07:42:18","07:40:00","MEADWHL","07:53:52","07:52:00",3
"17","1Y09","Tuesday","MEADWHL","07:56:48","07:56:00","SHEFFLD","08:02:12","08:00:00",3
"18","1Y49","Friday","LEEDS","17:05:17","17:05:00","NORMNTN","17:16:19","17:16:00",4
"19","1Y49","Friday","NORMNTN","17:19:04","17:19:00","WKFLDKG","17:22:08","17:22:00",4
"20","1Y49","Friday","WKFLDKG","17:24:15","17:24:00","BNSLY","17:37:17","17:36:00",4
"21","1Y49","Friday","BNSLY","17:40:15","17:40:00","MEADWHL","17:52:28","17:52:00",4
"22","1Y49","Friday","MEADWHL","17:55:23","17:56:00","SHEFFLD","18:01:02","18:00:00",4
"23","1Y21","Sunday","LEEDS","10:03:11","10:05:00","WKFLDKG","10:21:08","10:22:00",5
"24","1Y21","Sunday","WKFLDKG","10:26:48","10:24:00","BNSLY","10:43:46","10:36:00",5
"25","1Y21","Sunday","BNSLY","10:46:49","10:40:00","MEADWHL","11:00:25","10:52:00",5
"26","1Y21","Sunday","MEADWHL","11:03:11","10:56:00","SHEFFLD","11:08:03","11:00:00",5
"27","1Y45","Friday","LEEDS","16:05:21","16:05:00","WKFLDKG","16:26:14","16:22:00",6
"28","1Y45","Friday","WKFLDKG","16:29:23","16:24:00","BNSLY","16:42:13","16:36:00",6
"29","1Y45","Friday","BNSLY","16:45:07","16:40:00","MEADWHL","16:57:26","16:52:00",6
"30","1Y45","Friday","MEADWHL","17:00:24","16:56:00","SHEFFLD","17:04:59","17:00:00",6
"31","1Y57","Saturday","LEEDS","19:05:45","19:05:00","WKFLDKG","19:22:11","19:22:00",7
"32","1Y57","Saturday","WKFLDKG","19:24:22","19:24:00","BNSLY","19:37:22","19:36:00",7
"33","1Y57","Saturday","BNSLY","19:41:13","19:40:00","MEADWHL","19:53:52","19:52:00",7
"34","1Y57","Saturday","MEADWHL","19:56:00","19:56:00","SHEFFLD","20:00:35","20:00:00",7
"35","1Y13","Tuesday","LEEDS","08:06:25","08:05:00","WKFLDKG","08:22:34","08:22:00",8
"36","1Y13","Tuesday","WKFLDKG","08:24:25","08:24:00","BNSLY","08:37:11","08:36:00",8
